,Pop_Extract_Seq,mDC,NonBT,NonBTMon,mDC,NK cells,Monocyte,B cells,MemoryB,Naive B,T cells,abT,CD8+T,DNT,CD4+T,Treg,DPT,gdT
mDC,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NonBT,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NonBTMon,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NK cells,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Monocyte,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
B cells,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MemoryB,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Naive B,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
T cells,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
abT,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
CD8+T,5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
DNT,7,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
CD4+T,6,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Treg,,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
DPT,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
gdT,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
